genre,name,price,rank,rating,review_1,review_2,safety,total_review
"Peruvian, Latin",Chullschick,$$ - $$$,1.0,5.0,"“... fries, potato salad, rice, roast sw...”",“... the sides of garlic rice and salad.”,,138
European,"Mandarin Grill + Bar at Mandarin Oriental, Hong Kong",$$$$,2.0,4.5,“and the black sesame souffle was the be...”,"“Then beef tartare is a highlight, taste...”",,867
"French, Bar",Scarlett Cafe & Wine Bar,$$ - $$$,3.0,4.5,"“they came with Oysters, foie gras, salmon gravlex and bruschetta with crab me...”",“The duck confit and the short ribs were great 😊😊😊 A bit of a fusion menu.”,Taking safety measures,"1,359"
"Chinese, Asian",Yan Toh Heen (InterContinental Hong Kong),$$$$,4.0,4.5,“We love the 雪山包 and the wagyu dumplings!”,"“I liked ""Cripy lobstar dumpling with black truffle"" and ""Wok fried pork with...”",Taking safety measures,809
"Japanese, Sushi",Nabe-Dokoro Sessyu,$$ - $$$,5.0,5.0,“午餐帶來好心情 !!”,“Lunch set worth dining for”,,134
Japanese,Yaki Oni,$$ - $$$,6.0,5.0,“滿足的燒肉放題”,“生日的時候已經想來吃，不過入到去才知道一定要訂座，當時Walk”,,77
"Bar, Pub",Wingman,$$ - $$$,7.0,5.0,“Yummy chicken wings 😆🥰 there”,“What wonderful wings!”,,95
"French, European",Fleur de Sel,$$ - $$$,8.0,5.0,“Fantastic dessert crepes”,“Craving for authentic Brittany galettes...”,,155
Cafe,OMG Mamaday,$$ - $$$,9.0,5.0,“... 焦糖脆脆咖啡沙冰 ($48)☕🍫 Caramel Coffee Frappe Homemade caramel Crunch with Oreo...”,“... 73.5% Chocolate Latte ($48) ：我係勁中意飲朱古力嘅人，見到有73.5%濃度即刻叫左，一見到個設計真係心心眼，牛奶樽口有...”,,239
"Italian, European",Tosca di Angelo,$$$$,10.0,4.5,“Love the scallop with white truffles and the tuna as appetizer!”,"“My husband had lamb, to which his comment was tender and juicy.”",,"1,351"
"Mexican, Bar",8Five2 Restobar,$$ - $$$,11.0,5.0,"“... 感覺很刺激。 Enchiladas Succotash, Cojita Cheese & Sun Dried tomatoes $135 這個是另...”",“Lamb quesadilla is savory.”,,105
